team,attack,defense
Brazil,1.466777249792468,-1.0652112997699381
Spain,1.4631097249227671,-1.2253254071383628
Portugal,1.3669547412352083,-1.0884881208846156
Netherlands,1.36365712151567,-0.8628121964272382
Argentina,1.3566815220998059,-1.7947776360023775
France,1.3546442811262545,-1.0967260751468737
Colombia,1.3307523789780074,-1.2185298823779285
Germany,1.323187927216061,-0.839524612791417
Norway,1.2593129721234284,-0.8236141850064526
England,1.2029937116147529,-1.1318155591074346
Belgium,1.1349667903016718,-0.9347135204182376
Japan,1.0989806703705094,-1.0377325979503869
Sweden,1.0650240053639277,-0.4191434093774521
Croatia,1.0619115101150305,-0.9903160946689117
Switzerland,1.058510764038412,-0.8028439848596757
Turkey,1.0508392668669329,-0.5616661878686641
Austria,1.0303587593953965,-0.9190526229583065
Elba Island,1.0218482262859598,-0.20237336061621686
Italy,1.0170684567694503,-0.8193758870913689
Denmark,1.0007718508453138,-0.9245988280097562
Uruguay,0.9996106715102037,-1.4317117508654844
Székely Land,0.9464974586656725,-0.04850649882853799
South Korea,0.9097294152345645,-0.672791898116871
Ukraine,0.907650671891276,-0.6138919830711081
Czech Republic,0.9008787117908684,-0.5962753279731844
Algeria,0.8888594318730307,-0.7666094901930287
Senegal,0.8716960416348754,-0.9538423187711713
Morocco,0.8576412044639216,-1.2485875276869338
Scotland,0.8518777820633031,-0.6563364467263612
Jersey,0.8483470300524251,-0.42049381568966626
Iran,0.8453319303405934,-0.62133515546791
Isle of Man,0.8393753129623235,-0.3009818385712896
United States,0.8318027806891495,-0.6785804501401881
Ynys Môn,0.8302945479290363,-0.6630615552330321
Serbia,0.8294273658634772,-0.677434147410502
Greece,0.8292530302472475,-0.9508727572366864
Israel,0.8212989514397632,-0.2631254154837104
Mexico,0.814649887798474,-0.875215877529292
Georgia,0.814056075243999,-0.5516863727925576
Australia,0.8118308597393703,-0.8869509405677408
Venezuela,0.7880565994177205,-0.7011268587979396
Poland,0.7756880826477061,-0.6064214061194881
Chile,0.7675775569456773,-0.6554686767538462
Canada,0.7612621552894412,-0.7417329947108556
Nigeria,0.7254543540790411,-0.536981308091047
Tibet,0.7198134543525874,0.80831240863872
Kosovo,0.7143185171830011,-0.6436914150496934
Basque Country,0.7133657776150393,-0.5691977978361629
Paraguay,0.7060438973078172,-0.8700040730914044
Russia,0.6978431333781159,-1.1973530633982872
Shetland,0.6876201064317548,-0.09950139041141091
Hungary,0.682769013084818,-0.7593339431554456
Jordan,0.669953609486921,-0.3009470267474746
East Turkestan,0.6672894691934133,0.7814091920445846
Ecuador,0.6563877148301486,-1.4806744052932308
Panama,0.6502635224626948,-0.3848565187244513
Ivory Coast,0.6352340197080701,-0.7821018444831682
Burkina Faso,0.6342429310329696,-0.2600832124045007
Iceland,0.6194302594987248,-0.30011563466474916
Romania,0.6067748978539248,-0.658519058155411
Egypt,0.5757635592543063,-0.8403480032338778
Isle of Wight,0.5721662327146005,-0.3764684695765902
Wales,0.5472064647573694,-0.6101914386522049
Uzbekistan,0.5456907481917688,-0.753995086403372
Costa Rica,0.5432991890350929,-0.3544405701572264
Cameroon,0.5229987094280044,-0.60237018774438
Slovakia,0.5205830822731514,-0.6678382692773706
Hitra,0.5168672934038164,0.6888555709658255
New Zealand,0.5101876832354046,-0.47651311387924367
